DEPT	AC	GR	SP	DEN	por	per	sw
2527.125	79.924	57.041	-195.997	2.34	7.9924	5.7041	5.7041
2527.25	80.498	57.179	-196.459	2.353	8.0498	5.7179	5.7179
2527.375	80.961	56.727	-197.013	2.36	8.0961	5.6727	5.6727
2527.5	80.873	56.282	-198.677	2.363	8.0873	5.6282	5.6282
2527.625	80.565	56.398	-199.788	2.368	8.0565	5.6398	5.6398
2527.75	80.257	54.779	-199.945	2.374	8.0257	5.4779	5.4779
2527.875	79.859	52.325	-200.716	2.378	7.9859	5.2325	5.2325
2528	78.628	50.583	-201.639	2.386	7.8628	5.0583	5.0583
2528.125	77.464	50.346	-203.354	2.412	7.7464	5.0346	5.0346
2528.25	77.098	51.648	-205.069	2.446	7.7098	5.1648	5.1648
2528.375	77.308	53.263	-205.909	2.477	7.7308	5.3263	5.3263
2528.5	77.729	54.784	-205.474	2.493	7.7729	5.4784	5.4784
2528.625	78.878	55.75	-204.91	2.479	7.8878	5.575	5.575
2528.75	80.45	56.842	-207.039	2.462	8.045	5.6842	5.6842
2528.875	81.106	57.926	-208.351	2.451	8.1106	5.7926	5.7926
2529	81.781	58.14	-207.941	2.445	8.1781	5.814	5.814
2529.125	82.39	58.782	-206.773	2.44	8.239	5.8782	5.8782
2529.25	81.89	60.57	-207.002	2.438	8.189	6.057	6.057
2529.375	82.546	60.632	-205.977	2.436	8.2546	6.0632	6.0632
2529.5	82.546	58.946	-205.597	2.435	8.2546	5.8946	5.8946
2529.625	82.577	56.516	-205.373	2.432	8.2577	5.6516	5.6516
2529.75	82.617	54.48	-205.374	2.428	8.2617	5.448	5.448
2529.875	82.43	55.404	-205.71	2.423	8.243	5.5404	5.5404
2530	81.773	58.465	-206.171	2.426	8.1773	5.8465	5.8465
2530.125	81.394	59.201	-207.128	2.429	8.1394	5.9201	5.9201
2530.25	81.514	57.319	-207.337	2.431	8.1514	5.7319	5.7319
2530.375	81.412	55.629	-207.367	2.433	8.1412	5.5629	5.5629
2530.5	81.163	53.846	-207.896	2.439	8.1163	5.3846	5.3846
2530.625	81.335	54.817	-209.479	2.45	8.1335	5.4817	5.4817
2530.75	81.171	57.292	-212.146	2.46	8.1171	5.7292	5.7292
2530.875	81.079	58.946	-213.434	2.465	8.1079	5.8946	5.8946
